Epoch,Loss,Recall,Time
0,699820000.0,0.036520489533220374,0:00:35.743174
1,95439470.0,0.08346346796638808,0:00:34.718637
2,32039726.0,0.09886068265438855,0:00:33.647840
3,20181246.0,0.07415529444886809,0:00:33.382216
4,15355597.0,0.0984318550519271,0:00:33.610321
5,12420348.0,0.0795741634265059,0:00:33.631239
6,8573930.0,0.10283361636100796,0:00:33.538124
7,7342397.5,0.08079592320738867,0:00:33.577321
8,5619217.5,0.10378593041736785,0:00:33.140141
9,4453566.5,0.08375012310432338,0:00:33.416616
10,4093685.8,0.10673144590569893,0:00:33.500598
11,3545777.8,0.08571481710790949,0:00:33.606863
12,3538740.8,0.10815022394270211,0:00:33.312328
13,3505003.5,0.0839067351301231,0:00:33.675399
14,3389255.2,0.10606679200346393,0:00:33.539532
