Epoch,Loss,Recall,Time
0,74614.72,0.043262589376147194,0:00:35.714615
1,57091.863,0.08753441708332022,0:00:34.732827
2,50302.547,0.11752028493110268,0:00:35.113335
3,48694.82,0.09367985386361587,0:00:33.595732
4,46587.742,0.12099912170365698,0:00:34.817980
5,46183.367,0.09699451815350797,0:00:34.717271
6,45420.137,0.11725712804766046,0:00:34.407706
7,45324.35,0.09743833540937168,0:00:34.974492
8,44755.117,0.11548877856227803,0:00:34.403224
9,44593.875,0.0970381043020401,0:00:34.281148
10,44119.76,0.11190413701872967,0:00:34.088786
11,43771.902,0.098058245456617,0:00:33.943544
12,43526.246,0.10381605901865996,0:00:33.923349
13,43173.21,0.09782451706467515,0:00:33.975139
14,43172.207,0.10720092164379022,0:00:33.777093
