Epoch,Loss,Recall,Time
0,73953.01,0.033694050454584734,0:00:36.948247
1,56379.402,0.08827692845687186,0:00:36.220641
2,50768.457,0.11941579850875181,0:00:35.577589
3,48187.523,0.09246911980616114,0:00:36.201395
4,46928.24,0.11978008311908177,0:00:35.923137
5,46162.04,0.09628177416423277,0:00:35.931079
6,45611.98,0.11553776004564151,0:00:35.664388
7,45360.69,0.10122254422525309,0:00:36.063246
8,45047.156,0.11663407069733965,0:00:35.971346
9,44753.16,0.10024715104764059,0:00:35.730304
10,44322.098,0.11081256480341535,0:00:36.062796
11,44075.79,0.10316947890230545,0:00:35.732376
12,43628.45,0.10544840819498273,0:00:36.254592
13,43278.01,0.10336338434669104,0:00:35.979182
14,43069.72,0.11039066761594449,0:00:36.461186
