Epoch,Loss,Recall,Time
0,1225.3223,0.04278350185187661,0:00:34.271238
1,614.2715,0.11772738579413089,0:00:33.106978
2,448.10056,0.10637181890196713,0:00:33.959704
3,372.35498,0.09409043864144277,0:00:33.474563
4,342.00595,0.11320599053109688,0:00:33.047713
5,341.64203,0.09657070056412083,0:00:33.279034
6,329.90573,0.1146789263423734,0:00:32.901159
7,327.3306,0.09815735696659618,0:00:32.803611
8,320.45407,0.1151143259820783,0:00:32.509987
9,317.99493,0.09930025878761238,0:00:32.304799
10,313.2673,0.11620046813396283,0:00:32.774091
11,310.61215,0.1015275541044293,0:00:32.914523
12,304.72095,0.11596302191058196,0:00:32.403486
13,302.4138,0.10267394876615897,0:00:32.509898
14,297.81577,0.11581999464592452,0:00:32.691141
Epoch,Loss,Recall,Time
Epoch,Loss,Recall,Time
Epoch,Loss,Recall,Time
Epoch,Loss,Recall,Time
0,185797520.0,0.041348659128714806,0:00:55.274617
1,177540370.0,0.08563026883655404,0:01:05.625783
2,168828670.0,0.08103562048481366,0:00:57.155147
3,159990750.0,0.073427065181242,0:00:57.515542
4,150953490.0,0.0895424617856185,0:00:49.649106
5,141516750.0,0.0835843139290051,0:00:48.719710
6,132589050.0,0.08672595414668081,0:00:49.069461
7,122377416.0,0.07968156933736467,0:00:46.295939
8,113156900.0,0.09185537075853903,0:00:53.650128
