Epoch,Loss,Recall,Time
0,6849224000.0,0.04424154502278421,0:00:34.012800
1,1030649600.0,0.07279222545032153,0:00:34.179190
2,333831170.0,0.09100263372530176,0:00:33.074993
3,202706430.0,0.07771664254335332,0:00:33.164251
4,157095230.0,0.0999684037793103,0:00:32.746204
5,130870104.0,0.07915053286388593,0:00:32.757899
6,111666560.0,0.10139962591223307,0:00:32.469346
7,97603440.0,0.08121299179514678,0:00:33.447024
8,94569096.0,0.10368501028663611,0:00:33.039121
9,87715880.0,0.08167299316390543,0:00:33.318941
10,82935170.0,0.09792738972241696,0:00:32.916285
11,82363660.0,0.08068576718652387,0:00:32.746475
12,74606150.0,0.09565062378304488,0:00:32.457179
13,75220250.0,0.07972333861455702,0:00:32.904449
14,76267050.0,0.09339200654797909,0:00:32.601194
