Epoch,Loss,Recall,Time
0,6733.158,0.04310961779291788,0:00:37.236886
1,1132.5153,0.11870237736559547,0:00:35.777937
2,506.0458,0.10215786032997766,0:00:36.514943
3,296.07098,0.09186413681792396,0:00:35.871115
4,234.82562,0.10883197001458365,0:00:34.783695
5,241.67834,0.0997569191620781,0:00:35.073288
6,215.08852,0.11169367534290958,0:00:35.399933
7,217.71432,0.10883362466586591,0:00:35.099026
8,202.64555,0.11568302100356145,0:00:35.606035
9,200.09529,0.11527631869409297,0:00:35.199796
10,190.17508,0.11655648306816883,0:00:35.422956
11,187.07993,0.11701015062101686,0:00:35.354461
12,180.29234,0.11608104149083293,0:00:35.024466
13,176.50577,0.11625374535178651,0:00:34.482687
14,171.31648,0.11556011239483903,0:00:35.230009
