Epoch,Loss,Recall,Time
0,67171.23,0.042944546799776245,0:00:34.440869
1,13018.695,0.11794811399102781,0:00:33.116096
2,5790.424,0.10326749548938756,0:00:34.133872
3,3569.4563,0.08262850234417825,0:00:33.899721
4,2847.8877,0.11025581779874691,0:00:33.532505
5,2872.5076,0.09045317425299279,0:00:33.379234
6,2588.5703,0.11326312550369085,0:00:33.283929
7,2577.1873,0.10269131529671224,0:00:33.250899
8,2411.9539,0.11714048504372868,0:00:32.489928
9,2377.1592,0.11332375474581331,0:00:33.511068
10,2279.8452,0.11739199582004758,0:00:33.507233
11,2207.2344,0.1167590935261727,0:00:33.175870
12,2147.9316,0.11705061820707889,0:00:33.240403
13,2103.626,0.11613550478904223,0:00:33.268984
14,2031.0483,0.11554568832166742,0:00:33.098288
