Epoch,Loss,Recall,Time
0,49644.203,0.037795982984194704,0:00:34.031745
1,46980.35,0.10185132908719585,0:00:34.188297
2,43963.94,0.11244369370603823,0:00:34.784453
3,41335.457,0.09552166808318323,0:00:34.870517
4,37440.66,0.10629243579368049,0:00:34.761580
5,33820.203,0.10288627538196893,0:00:34.532399
6,29523.352,0.1120030338273876,0:00:34.330467
7,25418.766,0.1044610978687682,0:00:34.480095
8,21372.545,0.11039294926963901,0:00:34.218587
9,17558.502,0.10569598787537023,0:00:34.091462
10,14165.914,0.10698145461372535,0:00:34.361220
11,11310.671,0.10527975291431375,0:00:34.638726
12,9145.997,0.10631129046260167,0:00:34.327302
13,7812.64,0.10430300517675732,0:00:34.305715
14,6888.531,0.10524696708139679,0:00:34.100231
