Epoch,Loss,Recall,Time
0,76979.42,0.04239926648748922,0:00:36.132346
1,20743.422,0.11734084986251996,0:00:34.337076
2,16493.31,0.10544644939226072,0:00:34.958284
3,14785.245,0.082906106854686,0:00:35.481435
4,12592.793,0.11189649103399801,0:00:34.657173
5,13244.236,0.08666504721604963,0:00:34.189570
6,11800.687,0.11238678511506764,0:00:34.554616
7,12303.374,0.08711509467057867,0:00:34.478366
8,11239.582,0.11253571689978059,0:00:34.329494
9,11687.527,0.08733474314671023,0:00:34.146867
10,10785.428,0.11194282617057086,0:00:33.870315
11,11220.7295,0.08902122236451328,0:00:34.254313
12,10508.14,0.11215765083968444,0:00:34.568771
13,10887.749,0.09028830179384831,0:00:34.503878
14,10244.301,0.11240863918602048,0:00:34.915149
