Epoch,Loss,Recall,Time
0,948.99164,0.04283008641194306,0:00:36.763625
1,306.4891,0.11671338038226212,0:00:35.207795
2,247.30382,0.11156385581696439,0:00:35.824154
3,227.10152,0.0840771464342607,0:00:35.700475
4,213.48506,0.11604803859581911,0:00:34.749031
5,208.83742,0.08416519764783512,0:00:34.286296
6,198.72948,0.11526307731346415,0:00:35.199831
7,194.2386,0.08090067440201192,0:00:35.118044
8,184.97266,0.11578630899262524,0:00:35.472070
9,181.2531,0.07747403887621238,0:00:35.425257
10,173.71065,0.11476169146841934,0:00:35.129015
11,171.68402,0.07422368598148756,0:00:34.417913
12,164.65353,0.11473928068130794,0:00:34.579489
13,163.20618,0.07323494602948318,0:00:34.763990
14,156.5803,0.1151902686064723,0:00:34.945506
