Epoch,Loss,Recall,Time
0,67006380.0,0.04306701350757822,0:00:36.124653
1,10448412.0,0.07685378031865825,0:00:36.256380
2,4349563.0,0.07704592864304968,0:00:35.162465
3,3196134.2,0.0834616253128399,0:00:34.358426
4,2721867.2,0.08355611427226126,0:00:34.481739
5,2590177.8,0.08571214510912811,0:00:34.856336
6,2252340.2,0.0788415525192032,0:00:34.660428
7,2076924.2,0.08810818271486655,0:00:34.645347
8,1691594.5,0.08125989724746964,0:00:34.817522
9,1649663.8,0.08818644539112669,0:00:34.521690
10,1572908.2,0.08052988797047689,0:00:34.387391
11,1453888.5,0.08552064759682836,0:00:34.808347
12,1395590.6,0.08212164046330858,0:00:34.462296
13,1167938.4,0.08059630234483336,0:00:34.060230
14,1002172.7,0.08258249544476726,0:00:34.424858
