Epoch,Loss,Recall,Time
0,59525.086,0.04030803060496587,0:00:36.736343
1,49716.25,0.07983049017026735,0:00:35.845964
2,44554.38,0.11638528661798021,0:00:36.214770
3,42661.76,0.07772927502715371,0:00:36.223249
4,40047.46,0.11694494642796899,0:00:35.746450
5,38939.23,0.08268152275427428,0:00:35.678302
6,36788.14,0.11979018137129532,0:00:35.664129
7,35536.41,0.08679714635960496,0:00:35.692917
8,33726.008,0.11697024189355719,0:00:36.116492
9,32358.05,0.08780121229372781,0:00:35.842301
10,30714.867,0.1115833591727198,0:00:35.674712
11,29354.848,0.08659379027912502,0:00:35.750254
12,27806.578,0.10891236245129864,0:00:35.712220
13,26483.914,0.0860251193333024,0:00:35.620562
14,25053.936,0.10417429724009562,0:00:35.732159
