Epoch,Loss,Recall,Time
0,6861.37,0.041738477864446656,0:00:37.222073
1,1474.1106,0.1187303213040326,0:00:35.391109
2,744.8821,0.101350622637605,0:00:35.465913
3,451.96707,0.0920534634060627,0:00:35.755742
4,364.7386,0.10957378969187863,0:00:35.506736
5,372.57062,0.09812172013454896,0:00:35.391402
6,344.05435,0.11301748763869368,0:00:35.807742
7,346.2982,0.1053015172575414,0:00:35.027417
8,332.4903,0.11737403260542852,0:00:35.353789
9,331.55344,0.11254187580616444,0:00:35.577019
10,323.34363,0.11746068129500642,0:00:35.108997
11,319.8503,0.11704988167703642,0:00:34.768699
12,312.79953,0.11675878536547206,0:00:35.419116
13,309.98126,0.11630749176351722,0:00:35.449924
14,304.81586,0.11626018595632762,0:00:34.879893
