Epoch,Loss,Recall,Time
0,68891.17,0.04346293716097307,0:00:34.479451
1,14040.508,0.11955844245456727,0:00:33.525968
2,7093.696,0.10293796809389606,0:00:33.636874
3,4478.647,0.08519586842236872,0:00:33.241904
4,3774.8372,0.1109580973852706,0:00:33.407345
5,3805.176,0.09647858929818619,0:00:32.848728
6,3582.7642,0.114100066421002,0:00:33.551000
7,3571.657,0.1068001434573342,0:00:33.018095
8,3447.0867,0.11683957964229827,0:00:33.190554
9,3413.7844,0.11506432069013119,0:00:33.153843
10,3351.225,0.11719754409260841,0:00:33.289860
11,3305.8958,0.11693306122294471,0:00:33.303930
12,3245.625,0.11659555802922547,0:00:32.956904
13,3204.5771,0.11566752746531275,0:00:32.674304
14,3155.498,0.11565398517588284,0:00:32.892578
