Epoch,Loss,Recall,Time
0,70474730.0,0.04111243772930188,0:00:37.796967
1,10258838.0,0.06190091990905547,0:00:36.300867
2,4013683.8,0.09268603361454346,0:00:34.973173
3,2909578.2,0.06823364499060106,0:00:35.739158
4,2481861.2,0.0975365728366684,0:00:35.478136
5,2336911.5,0.06750723599856422,0:00:35.955911
6,2220009.2,0.08386915996426138,0:00:35.736906
7,2046722.5,0.06793951897093622,0:00:36.060091
8,1742899.0,0.08193314893270066,0:00:35.114480
9,1711983.6,0.06528176896496073,0:00:34.872873
10,1644962.8,0.06692885018189866,0:00:35.334679
11,1469390.2,0.06323214294793976,0:00:34.707668
12,1279237.9,0.07032170094156844,0:00:35.154098
13,1207287.5,0.0659786759309076,0:00:35.186069
14,988098.4,0.060568548649282856,0:00:34.717020
