Epoch,Loss,Recall,Time
0,80886.14,0.041984355315638,0:00:35.239104
1,62734.75,0.09546762940538289,0:00:34.708263
2,56661.523,0.11967041698098131,0:00:35.011603
3,54703.723,0.09620466397905539,0:00:35.026503
4,52678.043,0.11966457707609732,0:00:34.721101
5,52720.5,0.10434184826297757,0:00:34.614289
6,53349.504,0.1125778983272024,0:00:34.482874
7,49807.36,0.10244460978624506,0:00:33.952234
8,51427.383,0.10287714638287243,0:00:34.290895
9,47713.785,0.10261998462051233,0:00:34.351883
10,49514.914,0.09872422268511333,0:00:34.626821
11,46304.145,0.10343622560608261,0:00:34.715112
12,48013.297,0.09899711508525497,0:00:34.782845
13,45460.23,0.10341680562699174,0:00:34.670806
14,46990.61,0.09756928600578048,0:00:34.543116
