Epoch,Loss,Recall,Time
0,17682120.0,0.03675584756491905,0:00:35.782478
1,7627825.0,0.08330949670849934,0:00:35.437852
2,4452437.0,0.1192727758381218,0:00:35.398779
3,3185422.5,0.0930182860501675,0:00:35.388792
4,2519763.8,0.11997950229627792,0:00:35.338017
5,1817345.1,0.09685377406994894,0:00:34.938421
6,1603898.1,0.1161885888920313,0:00:34.319746
7,1282813.8,0.09802872572616501,0:00:35.331641
8,1076724.5,0.11429630757492024,0:00:34.827308
9,978348.25,0.09909949774133678,0:00:35.190556
10,897808.25,0.1067843015927335,0:00:34.953372
11,780364.6,0.09927958601731089,0:00:35.297642
12,709044.2,0.10785936928193095,0:00:34.626805
13,645700.7,0.10137724295476033,0:00:35.098818
14,604167.25,0.10707366111328062,0:00:35.370458
