Epoch,Loss,Recall,Time
0,227105.77,0.03692715086522009,0:00:32.938362
1,127488.016,0.08455053521409699,0:00:33.959212
2,97268.336,0.11747986912763068,0:00:33.477373
3,76646.97,0.08611445497479475,0:00:33.686353
4,69281.22,0.11911945141939413,0:00:34.209931
5,64553.38,0.09127852589854522,0:00:33.382005
6,60582.28,0.11256119851246542,0:00:33.250555
7,58047.15,0.09626283568472797,0:00:33.461824
8,55956.68,0.11301802824142775,0:00:33.282582
9,54411.742,0.09583298245887065,0:00:33.674166
10,53675.418,0.10178447579343178,0:00:32.685335
11,52468.562,0.09853467720626428,0:00:33.837266
12,51542.86,0.09919748307608234,0:00:33.409895
13,51110.168,0.09972041290787426,0:00:33.691789
14,50735.293,0.10333712312622005,0:00:33.593288
